S2ID|Name|Instrument|IssuerID|ISOCountryCode|ISOCurrencyCode|RootID|StartDate|EndDate
CANHWA1|CARBITE GOLF INC|STOCK|A00700|CAN|CAD|CANHWA1|19961231|20030530
CANHWC1|QUICK FIRE VENTURE CAP CORP|STOCK|A43800|CAN|CAD|CANHWC1|19990112|20020721
CANHWC1|MONCOA CORP|STOCK|A43800|CAN|CAD|CANHWC1|20020722|20100926
CANHWC1|MONUMENT MINING LIMITED|STOCK|A43800|CAN|CAD|CANHWC1|20100927|20751231
CANHWD1|RANKIN RES INC|STOCK|A43802|CAN|CAD|CANHWD1|19990112|19990314
CANHWD1|DELTA INTL INDS CORP|STOCK|A43802|CAN|CAD|CANHWD1|19990315|20071030
CANHWD1|DELTA EXPL INC|STOCK|A43802|CAN|CAD|CANHWD1|20071031|20090204
CANHWF1|QR CDA CAP INC|STOCK|A71536|CAN|CAD|CANHWF1|19961231|20080129
CANHWF1|SECTION ROUGE MEDIA INC|STOCK|A71536|CAN|CAD|CANHWF1|20080130|20751231
CANHWG1|QUATTRO RES LTD|STOCK|A43803|CAN|CAD|CANHWG1|19961231|20010730
CANHWG1|ALDERSHOT RES LTD|STOCK|A43803|CAN|CAD|CANHWG1|20010731|20751231
CANHWH1|QUESTOR TECHNOLOGY INC|STOCK|A62709|CAN|CAD|CANHWH1|19980305|20751231
CANHWI1|FUN KEY STUDIOS INC A|STOCK|A43804|CAN|CAD|CANHWI1|19980220|20021031
CANHWJ1|QUINTO MNG CORP|STOCK|A56055|CAN|CAD|CANHWJ1|19961231|20001212
CANHWJ1|QUINTO TECHNOLOGY INC|STOCK|A56055|CAN|CAD|CANHWJ1|20001213|20070109
CANHWJ1|QUINTO MINING CORP|STOCK|A56055|CAN|CAD|CANHWJ1|20070110|20080710
CANHWK1|QUARRY CAP CORP|STOCK|A43805|CAN|CAD|CANHWK1|19961231|20010423
CANHWK1|QUARRY OIL & GAS LTD|STOCK|A43805|CAN|CAD|CANHWK1|20010424|20050118
CANHWL1|RANDSBURG INTL GOLD CORP|STOCK|A43806|CAN|CAD|CANHWL1|19961231|20751231
CANHWM1|CIRQUE ENERGY CORP|CROSS_LIST|A00824|CAN|CAD|USAKST1|19990112|19990602
CANHWM1|TIKAL RS CORP|CROSS_LIST|A00824|CAN|CAD|USAKST1|19990603|20000702
CANHWM1|TIKAL RS CORP|STOCK|A00824|CAN|CAD|CANHWM1|20000703|20011221
CANHWN1|MEDALLION RES LTD|STOCK|A56056|CAN|CAD|CANHWN1|19961231|20751231
CANHWP1|REGEENA RES INC|STOCK|A70834|CAN|CAD|CANHWP1|19961231|20000608
CANHWP1|AMERIDIAN VENTURES INC|STOCK|A70834|CAN|CAD|CANHWP1|20000609|20010821
CANHWR1|RADAR ACQUISITIONS CORP|STOCK|A56057|CAN|CAD|CANHWR1|19961231|20100524
CANHWR1|CANAM COAL CORP|STOCK|A56057|CAN|CAD|CANHWR1|20100525|20751231
CANHWS1|DELORO MINERALS LTD|STOCK|A43807|CAN|CAD|CANHWS1|19970605|20071030
CANHWS1|DELORO RES LTD|STOCK|A43807|CAN|CAD|CANHWS1|20071031|20751231
CANHWU1|RAYMOR RES LTD|STOCK|A56058|CAN|CAD|CANHWU1|19961231|20061228
